iteration,scaffold_name,candidate_id,passrate,average_score,token_consuming,is_best_passrate
0,memgpt_source,memgpt_source_top12,0.2875,0.3757587387838811,140529,False
1,recall_expansion_archival,iter001_recall_expansion_archival_top8,0.275,0.3557619907260528,143054,False
2,unified_rank_clean_index,iter002_unified_rank_clean_index_top10,0.275,0.3706414436537308,141133,False
3,mmr_diverse_retrieval,iter003_mmr_diverse_retrieval_top12,0.25,0.31691334263281934,145266,False
4,contiguous_merge_compact,iter004_contiguous_merge_compact_top10,0.275,0.38689222134075074,98348,False
5,distinctive_term_fallback,iter005_distinctive_term_fallback_top8,0.35,0.4487651579392445,149167,False
6,content_only_indexing_blocks,iter006_content_only_indexing_blocks_top8,0.325,0.4221989961203671,139947,False
7,query_first_evidence_review,iter007_query_first_evidence_review_top8,0.3375,0.3871939459246231,147811,False
8,compact_anti_truncation_retrieval,iter008_compact_anti_truncation_retrieval_top8,0.4125,0.4902152554038743,143092,True
9,clean_indexing_extractive_fallback,iter009_clean_indexing_extractive_fallback_top8,0.3875,0.4932553826327464,143991,False
10,entity_boosted_clean_retrieval_highlighted_context,iter010_entity_boosted_clean_retrieval_highlighted_context_top8,0.375,0.47709290447220204,145085,False
12,idf_weighted_dynamic_merge_retrieval,iter012_idf_weighted_dynamic_merge_retrieval_top8,0.3625,0.47134286642657874,141809,False
13,compressed_evidence_anti_truncation_retrieval,iter013_compressed_evidence_anti_truncation_retrieval_top8,0.4125,0.5299767695539754,144469,True
14,tier_separated_evidence_top8,iter014_tier_separated_evidence_top8_top8,0.35,0.4635750946267764,155722,False
15,purified_evidence_clean_recall_index_top8,iter015_purified_evidence_clean_recall_index_top8_top8,0.3875,0.5044804501054501,154195,False
16,temporal_aligned_retrieval_top8,iter016_temporal_aligned_retrieval_top8_top8,0.4125,0.5484828624534507,145764,True
17,span_indexed_retrieval_top8,iter017_span_indexed_retrieval_top8_top8,0.35,0.46590380752826854,137388,False
18,iter018_extractive_compressed_retrieval_top8,iter018_iter018_extractive_compressed_retrieval_top8_top8,0.3875,0.4938011200481179,145851,False
19,evidence_candidate_extraction,iter019_evidence_candidate_extraction_top8,0.3375,0.4616423624466999,155947,False
20,query_highlighted_precision_retrieval,iter020_query_highlighted_precision_retrieval_top8,0.375,0.5016431361960041,148069,False
21,clean_unified_grounded_retrieval_top8,iter021_clean_unified_grounded_retrieval_top8_top8,0.4125,0.5235618461685512,148260,True
22,span_highlighted_evidence_retrieval_top8,iter022_span_highlighted_evidence_retrieval_top8_top8,0.3625,0.4693601989089841,148948,False
23,subject_speaker_aligned_temporal_retrieval,iter023_subject_speaker_aligned_temporal_retrieval_top8,0.4125,0.5062287973007787,151393,True
25,fact_enriched_summary_retrieval_top8,iter025_fact_enriched_summary_retrieval_top8_top8,0.325,0.44527001409110917,153279,False
26,entity_expansion_session_coherence,iter026_entity_expansion_session_coherence_top8,0.4,0.4929957134368899,147938,False
27,query_focused_turn_extraction_top8,iter027_query_focused_turn_extraction_top8_top8,0.3125,0.42440413265137317,125641,False
28,speaker_isolated_archival_passages,iter028_speaker_isolated_archival_passages_top8,0.35,0.46869739057239057,140430,False
29,evidence_consolidation_exact_quote_top8,iter029_evidence_consolidation_exact_quote_top8_top8,0.35,0.44283606670541975,152359,False
30,iter030_answer_type_aware_retrieval_top8,iter030_iter030_answer_type_aware_retrieval_top8_top8,0.3875,0.47648172905525843,147399,False
