iteration,scaffold_name,candidate_id,passrate,average_score,token_consuming,is_best_passrate
0,memgpt_source,memgpt_source_top12,0.16,0.16,102084,False
1,memgpt_compact_context,iter001_memgpt_compact_context_top10,0.38,0.38,180607,False
2,memgpt_calibrated_ranking,iter002_memgpt_calibrated_ranking_top10,0.47,0.47,162677,False
3,token_economical_direct_extraction,iter003_token_economical_direct_extraction_top8,0.27,0.27,199015,False
4,query_focused_semantic_compression,iter004_query_focused_semantic_compression_top8,0.49,0.49,157160,False
5,structure_preserving_adaptive_context,iter005_structure_preserving_adaptive_context_top8,0.39,0.39,146869,False
6,contiguous_window_compression,iter006_contiguous_window_compression_top8,0.5,0.5,161936,False
8,keyword_augmented_dual_pass_retrieval,iter008_keyword_augmented_dual_pass_retrieval_top8,0.53,0.53,179351,False
9,cross_hit_evidence_distillation,iter009_cross_hit_evidence_distillation_top8,0.54,0.54,169043,False
10,answer_type_boosted_retrieval_with_proportional_context,iter010_answer_type_boosted_retrieval_with_proportional_context_top8,0.53,0.53,153850,False
11,fixed_window_list_skeleton_highlighting,iter011_fixed_window_list_skeleton_highlighting_top8,0.47,0.47,169144,False
12,answer_signal_prioritized_two_tier_context,iter012_answer_signal_prioritized_two_tier_context_top8,0.57,0.57,169406,False
13,multi_granularity_adaptive_retrieval,iter013_multi_granularity_adaptive_retrieval_top8,0.63,0.63,185964,False
14,list_atomic_compression_with_directive_prompt,iter014_list_atomic_compression_with_directive_prompt_top8,0.66,0.66,189521,False
15,multisignal_retrieval_without_answer_boosting,iter015_multisignal_retrieval_without_answer_boosting_top8,0.66,0.66,187528,False
16,sentence_surfacing_with_structure_preservation,iter016_sentence_surfacing_with_structure_preservation_top8,0.69,0.69,180699,False
17,abstention_retry_with_broader_retrieval,iter017_abstention_retry_with_broader_retrieval_top8,0.17,0.17,102326,False
18,contiguous_list_block_preservation_top8,iter018_contiguous_list_block_preservation_top8_top8,0.64,0.64,178271,False
19,list_block_extraction_from_long_docs,iter019_list_block_extraction_from_long_docs_top8,0.61,0.61,181279,False
20,multi_objective_compression_with_answer_type_scoring,iter020_multi_objective_compression_with_answer_type_scoring_top8,0.69,0.69,182200,False
24,dynamic_contiguous_compression_top8,iter024_dynamic_contiguous_compression_top8_top8,0.62,0.62,170331,False
25,adjacent_archival_merge_1536,iter025_adjacent_archival_merge_1536_top8,0.69,0.69,182008,False
27,mmr_diversity_rerank_2048,iter027_mmr_diversity_rerank_2048_top8,0.71,0.71,183074,True
28,answer_type_boost_aggregation,iter028_answer_type_boost_aggregation_top8,0.68,0.68,180895,False
29,temporal_date_boost,iter029_temporal_date_boost_top8,0.11,0.11,32453,False
