iteration,scaffold_name,candidate_id,passrate,average_score,token_consuming,is_best_passrate
0,memgpt_source,memgpt_source_top12,0.0,0.0,0,False
1,content_pure_entity_boost,iter001_content_pure_entity_boost_top8,0.22,0.22,93383,False
2,multigran_evidence_extraction,iter002_multigran_evidence_extraction_top8,0.33,0.33,132294,False
3,evidence_first_temporal_context,iter003_evidence_first_temporal_context_top8,0.36,0.36,131065,False
4,question_date_aware_temporal_reasoning,iter004_question_date_aware_temporal_reasoning_top8,0.0,0.0,0,False
5,adjacent_turn_expansion,iter005_adjacent_turn_expansion_top8,0.3,0.3,113960,False
7,global_evidence_compression_top8,iter007_global_evidence_compression_top8_top8,0.37,0.37,131278,False
8,multi_stream_decomposition_top8,iter008_multi_stream_decomposition_top8_top8,0.37,0.37,137164,False
9,ngram_fallback_compression,iter009_ngram_fallback_compression_top8,0.26,0.26,122025,False
10,sentence_evidence_retrieval,iter010_sentence_evidence_retrieval_top8,0.26,0.26,124445,False
11,mmr_diverse_retrieval_top8,iter011_mmr_diverse_retrieval_top8_top8,0.31,0.31,142339,False
12,evidence_density_multigran_top8,iter012_evidence_density_multigran_top8_top8,0.45,0.45,126716,False
13,answer_type_guided_multigran_top8,iter013_answer_type_guided_multigran_top8_top8,0.4,0.4,133644,False
14,twostage_reasoning_pipeline,iter014_twostage_reasoning_pipeline_top8,0.17,0.17,220102,False
15,query_facet_expansion_reasoning,iter015_query_facet_expansion_reasoning_top8,0.49,0.49,167504,False
16,iter016_chronological_timeline_budget_protection,iter016_iter016_chronological_timeline_budget_protection_top8,0.18,0.18,177898,False
17,fine_grained_prf_retrieval,iter017_fine_grained_prf_retrieval_top8,0.45,0.45,144177,False
18,facet_cover_diverse_retrieval,iter018_facet_cover_diverse_retrieval_top8,0.46,0.46,151362,False
19,temporal_grounding_evidence_collation,iter019_temporal_grounding_evidence_collation_top8,0.03,0.03,184982,False
20,temporal_anchor_density_ranking_top8,iter020_temporal_anchor_density_ranking_top8_top8,0.33,0.33,164423,False
21,subquery_evidence_formatting_top8,iter021_subquery_evidence_formatting_top8_top8,0.39,0.39,124337,False
23,facet_expansion_evidence_packing_top8,iter023_facet_expansion_evidence_packing_top8_top8,0.56,0.56,159489,False
24,gap_filled_precision_retrieval_top8,iter024_gap_filled_precision_retrieval_top8_top8,0.41,0.41,190197,False
25,temporal_grounded_constraint_retrieval_top8,iter025_temporal_grounded_constraint_retrieval_top8_top8,0.56,0.56,160469,False
26,temporal_window_supplementary_retrieval,iter026_temporal_window_supplementary_retrieval_top8,0.15,0.15,101674,False
27,prf_content_pure_retrieval_top8,iter027_prf_content_pure_retrieval_top8_top8,0.22,0.22,101835,False
29,adaptive_recovery_temporal_facet_top8,iter029_adaptive_recovery_temporal_facet_top8_top8,0.56,0.56,151857,False
30,adaptive_suppression_window_expansion_top8,iter030_adaptive_suppression_window_expansion_top8_top8,0.59,0.59,145320,True
